ID,Timestamp,Age_Group,Gender,Region,Preferred_Tool,Satisfaction,Feedback
58,2024-01-07,35-44,Male,East,SQL,4,Highly recommended
59,2024-04-16,35-44,Female,East,Python,2,Average
60,2024-02-25,25-34,Male,Central,Power BI,2,Highly recommended
61,2024-04-22,25-34,Other,South,Python,3,Average
62,2024-02-04,35-44,Female,South,Python,5,Too complex
63,2024-04-08,25-34,Other,North,Excel,2,Highly recommended
64,2024-02-10,35-44,Male,North,Excel,5,Very useful tool
65,2024-01-09,25-34,Other,East,R,1,Average
66,2024-01-02,45-60,Other,Central,Excel,4,Highly recommended
67,2024-01-06,18-24,Male,South,SQL,1,Excellent experience
68,2024-01-09,18-24,Male,North,Power BI,3,Loved it
69,2024-03-08,45-60,Other,East,Power BI,5,Highly recommended
70,2024-02-14,35-44,Male,North,R,5,Very useful tool
71,2024-01-19,45-60,Male,West,SQL,4,Very useful tool
72,2024-03-31,45-60,Female,West,SQL,3,Average
73,2024-03-20,35-44,Other,East,R,5,Loved it
74,2024-04-07,18-24,Other,South,Excel,3,Excellent experience
75,2024-02-28,25-34,Male,Central,Excel,3,Too complex
76,2024-04-15,35-44,Female,Central,Excel,1,Loved it
77,2024-01-14,45-60,Other,North,R,2,Average
78,2024-03-11,35-44,Other,North,Power BI,1,Needs improvement
79,2024-02-06,45-60,Other,South,Excel,5,Average
80,2024-01-12,35-44,Male,East,Excel,5,Loved it
81,2024-04-04,25-34,Other,North,Python,3,Too complex
82,2024-01-09,25-34,Female,Central,R,4,Too complex
83,2024-01-23,45-60,Other,Central,R,2,Average
84,2024-02-27,18-24,Female,South,Excel,3,Could be better
85,2024-01-03,45-60,Female,Central,Power BI,3,Highly recommended
86,2024-02-02,25-34,Male,Central,Python,4,Excellent experience
87,2024-04-18,35-44,Other,Central,Python,4,Could be better
88,2024-04-14,45-60,Male,South,Power BI,4,Too complex
89,2024-03-07,18-24,Male,North,Python,2,Too complex
90,2024-04-23,35-44,Male,East,R,2,Could be better
91,2024-02-23,25-34,Male,South,Excel,4,Highly recommended
92,2024-04-24,25-34,Male,South,Python,5,Average
93,2024-03-18,25-34,Male,North,Power BI,1,Excellent experience
94,2024-04-27,25-34,Other,North,Power BI,2,Highly recommended
95,2024-04-05,18-24,Female,East,Python,3,Excellent experience
96,2024-02-13,18-24,Other,Central,R,4,Too complex
97,2024-03-04,25-34,Female,West,SQL,3,Too complex
98,2024-03-29,18-24,Male,East,Excel,2,Average
99,2024-01-08,25-34,Male,North,SQL,3,Could be better
100,2024-01-12,18-24,Male,South,R,1,Very useful tool
101,2024-03-02,25-34,Female,South,Excel,3,Could be better
102,2024-03-17,35-44,Other,East,R,3,Very useful tool
103,2024-02-19,45-60,Female,East,Excel,3,Very useful tool
104,2024-02-18,35-44,Female,East,Python,3,Excellent experience
105,2024-02-15,18-24,Male,South,SQL,5,Very useful tool
106,2024-01-13,25-34,Other,East,SQL,4,Highly recommended
107,2024-03-01,45-60,Male,West,Excel,1,Could be better
108,2024-03-06,25-34,Male,South,R,3,Average
109,2024-01-27,45-60,Male,East,Power BI,2,Could be better
110,2024-03-06,25-34,Male,North,SQL,1,Could be better
111,2024-04-01,45-60,Female,East,Excel,3,Very useful tool
112,2024-03-11,25-34,Male,East,R,5,Very useful tool
113,2024-04-17,18-24,Other,West,Power BI,5,Very useful tool
114,2024-02-18,18-24,Other,Central,Excel,1,Very useful tool
115,2024-04-08,45-60,Female,East,SQL,5,Very useful tool
116,2024-01-20,45-60,Female,North,Excel,4,Very useful tool
117,2024-02-18,35-44,Other,West,R,4,Too complex
118,2024-03-02,18-24,Other,South,Python,3,Could be better
119,2024-04-30,45-60,Female,Central,Excel,2,Could be better
120,2024-01-10,45-60,Female,Central,SQL,1,Needs improvement
121,2024-03-13,45-60,Female,West,Excel,1,Average
122,2024-03-02,25-34,Female,West,R,1,Average
123,2024-03-05,25-34,Male,South,R,2,Too complex
124,2024-02-18,25-34,Male,North,Python,3,Average
125,2024-01-28,45-60,Male,South,SQL,4,Excellent experience
126,2024-01-23,35-44,Female,North,Python,3,Could be better
127,2024-02-29,25-34,Other,Central,SQL,1,Too complex
128,2024-04-07,35-44,Male,West,R,4,Could be better
129,2024-01-08,18-24,Other,East,Excel,4,Very useful tool
130,2024-04-09,35-44,Male,South,SQL,1,Could be better
131,2024-01-18,45-60,Male,Central,Power BI,2,Loved it
132,2024-04-08,25-34,Other,Central,SQL,3,Needs improvement
133,2024-04-13,45-60,Male,East,SQL,5,Highly recommended
134,2024-03-30,18-24,Male,East,Python,3,Very useful tool
135,2024-01-27,18-24,Other,Central,Power BI,4,Too complex
136,2024-03-25,35-44,Other,North,Python,4,Excellent experience
137,2024-02-18,18-24,Female,East,Excel,2,Loved it
138,2024-01-22,18-24,Other,West,SQL,5,Could be better
139,2024-02-10,18-24,Other,West,SQL,1,Highly recommended
140,2024-04-14,35-44,Male,West,SQL,5,Excellent experience
141,2024-01-31,45-60,Female,West,Excel,3,Could be better
142,2024-02-07,18-24,Female,North,Power BI,3,Too complex
143,2024-03-19,18-24,Female,Central,Excel,1,Average
144,2024-02-11,25-34,Female,West,Power BI,4,Needs improvement
145,2024-04-06,25-34,Male,West,R,5,Needs improvement
146,2024-04-01,18-24,Other,South,R,3,Could be better
147,2024-01-31,45-60,Female,Central,R,1,Excellent experience
148,2024-04-25,25-34,Other,Central,SQL,2,Needs improvement
149,2024-03-02,45-60,Female,Central,Python,2,Needs improvement
150,2024-03-26,35-44,Male,East,Power BI,3,Highly recommended
151,2024-01-04,25-34,Other,South,Excel,2,Could be better
152,2024-02-28,25-34,Male,North,R,2,Could be better
153,2024-02-14,25-34,Other,South,R,2,Needs improvement
154,2024-02-27,25-34,Male,West,Python,3,Excellent experience
155,2024-03-14,25-34,Male,North,Excel,3,Average
156,2024-01-31,18-24,Male,Central,Power BI,5,Average
157,2024-02-09,25-34,Other,Central,Excel,2,Highly recommended
158,2024-03-01,35-44,Male,East,Python,1,Too complex
159,2024-02-14,45-60,Other,South,SQL,1,Highly recommended
160,2024-01-15,45-60,Female,East,Excel,5,Excellent experience
161,2024-01-01,35-44,Other,West,R,1,Average
162,2024-02-09,25-34,Other,Central,Power BI,4,Needs improvement
163,2024-01-04,35-44,Other,East,Excel,3,Highly recommended
164,2024-02-29,35-44,Male,West,Excel,3,Loved it
165,2024-03-28,35-44,Female,West,Power BI,5,Loved it
166,2024-04-18,18-24,Other,West,SQL,1,Too complex
167,2024-04-16,18-24,Female,East,Python,5,Needs improvement
168,2024-02-14,18-24,Male,North,Excel,3,Average
169,2024-01-31,25-34,Female,West,Power BI,5,Loved it
170,2024-02-09,45-60,Other,Central,Python,1,Could be better
171,2024-04-12,25-34,Male,Central,Python,4,Very useful tool
172,2024-03-31,35-44,Other,South,R,5,Could be better
173,2024-03-15,45-60,Female,West,Power BI,3,Too complex
174,2024-03-31,35-44,Female,North,Power BI,1,Very useful tool
175,2024-02-21,35-44,Female,Central,Excel,4,Highly recommended
176,2024-01-03,25-34,Male,West,SQL,1,Loved it
177,2024-02-24,45-60,Female,West,Python,5,Average
178,2024-01-18,18-24,Male,North,Python,5,Highly recommended
179,2024-01-03,25-34,Other,West,SQL,5,Average
180,2024-02-05,25-34,Male,North,Excel,4,Highly recommended
181,2024-03-06,18-24,Other,South,R,4,Excellent experience
182,2024-02-13,18-24,Male,West,SQL,3,Excellent experience
183,2024-02-27,45-60,Male,North,R,1,Could be better
184,2024-02-22,45-60,Male,Central,Excel,5,Very useful tool
185,2024-01-09,25-34,Other,South,R,1,Average
186,2024-01-31,45-60,Male,North,Python,4,Too complex
187,2024-02-04,25-34,Male,South,Python,1,Very useful tool
188,2024-02-24,25-34,Female,Central,SQL,4,Too complex
189,2024-03-07,45-60,Male,West,Excel,1,Too complex
190,2024-02-10,25-34,Female,South,Power BI,4,Loved it
191,2024-03-05,18-24,Female,South,Power BI,2,Very useful tool
192,2024-03-26,35-44,Male,North,Python,2,Loved it
193,2024-01-31,35-44,Male,South,Excel,3,Too complex
194,2024-03-23,25-34,Other,North,Power BI,1,Highly recommended
195,2024-02-24,35-44,Male,South,Power BI,4,Too complex
196,2024-02-09,25-34,Female,South,R,1,Loved it
197,2024-01-02,45-60,Other,West,R,3,Average
198,2024-03-18,25-34,Female,East,SQL,1,Very useful tool
199,2024-02-19,25-34,Male,South,Python,3,Excellent experience
200,2024-01-28,25-34,Male,South,R,3,Highly recommended
201,2024-01-18,25-34,Other,North,Power BI,4,Too complex
202,2024-03-01,18-24,Male,North,Excel,3,Very useful tool
203,2024-04-24,25-34,Male,North,R,1,Very useful tool
204,2024-01-12,45-60,Male,East,R,3,Could be better
205,2024-02-01,25-34,Female,Central,Power BI,4,Too complex
206,2024-02-25,35-44,Female,West,Power BI,4,Could be better
207,2024-03-10,25-34,Male,East,R,2,Needs improvement
208,2024-01-11,25-34,Male,Central,Python,3,Loved it
209,2024-03-31,45-60,Other,North,Power BI,2,Too complex
210,2024-04-21,18-24,Other,South,SQL,2,Highly recommended
211,2024-04-16,25-34,Other,North,Power BI,5,Excellent experience
212,2024-03-07,35-44,Other,West,R,3,Excellent experience
213,2024-03-31,25-34,Other,South,Python,3,Could be better
214,2024-03-05,18-24,Male,Central,Python,2,Too complex
215,2024-04-16,45-60,Other,North,Excel,2,Highly recommended
216,2024-03-08,35-44,Female,Central,Power BI,5,Too complex
217,2024-04-29,18-24,Male,East,SQL,1,Excellent experience
218,2024-03-01,45-60,Female,Central,R,4,Loved it
219,2024-04-18,25-34,Male,North,SQL,3,Highly recommended
220,2024-03-25,18-24,Female,East,SQL,1,Needs improvement
221,2024-01-01,35-44,Male,West,SQL,5,Too complex
222,2024-02-12,45-60,Female,West,R,5,Loved it
223,2024-04-23,45-60,Female,North,Python,2,Average
224,2024-03-13,25-34,Male,Central,Python,5,Could be better
225,2024-01-29,35-44,Female,East,Python,4,Excellent experience
226,2024-01-13,18-24,Female,Central,Python,5,Too complex
227,2024-03-25,35-44,Female,East,R,5,Average
228,2024-03-09,18-24,Other,West,Power BI,1,Average
229,2024-02-03,18-24,Male,South,R,2,Excellent experience
230,2024-03-13,35-44,Female,West,Power BI,1,Too complex
231,2024-04-06,25-34,Other,Central,Python,2,Excellent experience
232,2024-02-10,45-60,Male,North,R,1,Highly recommended
233,2024-04-03,25-34,Male,West,R,4,Too complex
234,2024-02-26,25-34,Other,South,Power BI,3,Needs improvement
235,2024-02-21,25-34,Other,Central,R,4,Highly recommended
236,2024-02-03,18-24,Other,North,R,3,Average
237,2024-03-06,35-44,Other,South,SQL,5,Average
238,2024-03-07,18-24,Female,North,R,5,Excellent experience
239,2024-03-16,35-44,Female,South,SQL,5,Average
240,2024-01-21,45-60,Other,West,Python,5,Could be better
241,2024-02-15,35-44,Female,South,Python,4,Loved it
242,2024-01-06,35-44,Other,Central,Power BI,5,Too complex
243,2024-02-15,25-34,Other,East,SQL,2,Excellent experience
244,2024-03-14,25-34,Other,East,Python,3,Highly recommended
245,2024-02-19,45-60,Female,South,SQL,2,Needs improvement
246,2024-01-13,18-24,Male,Central,SQL,2,Average
247,2024-01-12,18-24,Female,North,R,2,Highly recommended
248,2024-01-31,18-24,Other,North,Python,2,Needs improvement
249,2024-03-11,35-44,Other,South,Python,4,Average
250,2024-02-12,45-60,Other,South,Python,5,Could be better
251,2024-04-08,25-34,Other,East,SQL,1,Loved it
252,2024-03-14,45-60,Male,West,Power BI,3,Could be better
253,2024-04-25,18-24,Other,South,Power BI,4,Highly recommended
254,2024-04-11,25-34,Female,East,R,2,Highly recommended
255,2024-02-03,35-44,Male,North,Power BI,5,Excellent experience
256,2024-04-11,25-34,Male,East,SQL,3,Highly recommended
257,2024-03-09,45-60,Female,Central,Python,5,Needs improvement
258,2024-03-02,18-24,Male,South,R,3,Excellent experience
259,2024-01-16,45-60,Female,South,Python,4,Excellent experience
260,2024-03-10,35-44,Female,Central,Power BI,1,Very useful tool
261,2024-02-28,45-60,Female,Central,Power BI,3,Highly recommended
262,2024-01-20,35-44,Other,East,Power BI,2,Excellent experience
263,2024-04-11,45-60,Male,North,Python,5,Needs improvement
264,2024-03-29,25-34,Male,South,R,3,Needs improvement
265,2024-01-04,45-60,Male,Central,R,2,Loved it
266,2024-02-21,45-60,Other,West,R,5,Too complex
267,2024-04-12,25-34,Female,Central,Power BI,3,Very useful tool
268,2024-04-27,45-60,Male,Central,SQL,4,Could be better
269,2024-04-12,45-60,Female,East,R,5,Too complex
270,2024-04-04,25-34,Male,South,SQL,3,Needs improvement
271,2024-02-15,45-60,Male,South,Power BI,1,Could be better
272,2024-04-28,18-24,Female,West,SQL,3,Very useful tool
273,2024-02-02,18-24,Other,South,R,3,Needs improvement
274,2024-01-17,18-24,Male,West,Python,4,Too complex
275,2024-03-26,25-34,Female,West,Python,4,Too complex
276,2024-03-29,35-44,Female,North,Power BI,3,Excellent experience
277,2024-03-23,45-60,Other,East,Python,1,Very useful tool
278,2024-03-14,18-24,Female,North,R,2,Loved it
279,2024-04-16,18-24,Female,South,SQL,4,Could be better
280,2024-01-23,25-34,Male,Central,Python,3,Very useful tool
281,2024-03-11,45-60,Male,East,SQL,1,Highly recommended
282,2024-02-04,25-34,Female,Central,SQL,2,Excellent experience
283,2024-04-11,45-60,Other,East,Python,1,Too complex
284,2024-01-17,18-24,Other,East,SQL,1,Too complex
285,2024-03-18,35-44,Male,East,Python,3,Loved it
286,2024-02-10,45-60,Male,Central,SQL,1,Highly recommended
287,2024-01-01,45-60,Female,South,R,3,Too complex
288,2024-02-16,25-34,Other,East,R,2,Needs improvement
289,2024-01-01,45-60,Other,Central,Power BI,5,Highly recommended
290,2024-04-15,35-44,Male,North,Excel,4,Loved it
291,2024-01-17,35-44,Other,North,Power BI,4,Could be better
292,2024-01-22,35-44,Other,Central,Python,1,Too complex
293,2024-02-15,45-60,Female,North,Excel,1,Average
294,2024-04-14,45-60,Female,East,Python,2,Could be better
295,2024-04-01,35-44,Other,South,Excel,1,Too complex
296,2024-01-25,25-34,Other,East,Excel,3,Very useful tool
297,2024-04-12,18-24,Male,North,Python,4,Excellent experience
298,2024-03-23,25-34,Other,West,Power BI,2,Needs improvement
299,2024-02-21,35-44,Other,North,SQL,3,Could be better
300,2024-02-18,45-60,Female,West,Power BI,3,Too complex
301,2024-02-24,45-60,Male,West,Power BI,3,Loved it
302,2024-02-10,35-44,Other,South,Excel,5,Average
303,2024-02-02,25-34,Male,South,Power BI,5,Could be better
304,2024-01-17,25-34,Other,North,Python,4,Needs improvement
305,2024-02-20,45-60,Other,East,Python,2,Average
306,2024-01-12,45-60,Male,Central,SQL,5,Highly recommended
307,2024-02-02,18-24,Other,West,Python,5,Average
308,2024-02-24,18-24,Male,Central,R,2,Very useful tool
309,2024-03-08,25-34,Other,Central,Power BI,3,Needs improvement
310,2024-03-14,18-24,Other,East,Excel,1,Loved it
311,2024-01-11,18-24,Other,North,Excel,1,Loved it
312,2024-02-17,45-60,Female,Central,Python,3,Could be better
313,2024-03-21,45-60,Male,North,Python,3,Loved it
314,2024-03-12,45-60,Other,East,Python,4,Needs improvement
315,2024-03-26,35-44,Male,South,Excel,5,Too complex
316,2024-01-30,25-34,Other,South,SQL,5,Excellent experience
317,2024-04-08,25-34,Other,North,Python,5,Too complex
318,2024-03-19,18-24,Other,West,SQL,5,Excellent experience
319,2024-01-14,25-34,Female,East,Power BI,3,Very useful tool
320,2024-01-29,45-60,Other,East,SQL,1,Excellent experience
321,2024-02-18,18-24,Male,South,R,1,Needs improvement
322,2024-02-15,18-24,Other,East,SQL,1,Too complex
323,2024-03-23,45-60,Male,South,Python,3,Too complex
324,2024-02-05,35-44,Male,South,Excel,3,Too complex
325,2024-04-29,18-24,Other,Central,Python,3,Needs improvement
326,2024-01-08,18-24,Female,South,Excel,3,Very useful tool
327,2024-03-04,18-24,Male,West,SQL,2,Highly recommended
328,2024-04-30,25-34,Male,East,Power BI,2,Average
329,2024-04-04,45-60,Male,Central,R,1,Needs improvement
330,2024-04-06,45-60,Male,South,Excel,4,Could be better
331,2024-01-31,25-34,Other,South,SQL,1,Average
332,2024-01-09,45-60,Other,West,R,5,Needs improvement
333,2024-04-07,45-60,Male,Central,SQL,1,Too complex
334,2024-04-09,18-24,Male,East,Power BI,3,Could be better
335,2024-03-29,35-44,Other,East,Excel,4,Too complex
336,2024-03-17,35-44,Male,South,Power BI,3,Excellent experience
337,2024-04-25,18-24,Other,South,R,5,Very useful tool
338,2024-02-24,18-24,Other,North,Power BI,1,Excellent experience
339,2024-03-17,45-60,Other,South,SQL,2,Needs improvement
340,2024-01-27,45-60,Other,East,Excel,4,Average
341,2024-04-30,45-60,Other,Central,Python,2,Loved it
342,2024-04-11,35-44,Other,North,Python,5,Highly recommended
343,2024-03-24,45-60,Other,North,Power BI,2,Average
344,2024-02-26,25-34,Male,South,Excel,1,Very useful tool
345,2024-03-21,18-24,Other,South,Excel,3,Average
346,2024-01-02,25-34,Female,Central,SQL,2,Average
347,2024-02-09,25-34,Male,West,Power BI,2,Excellent experience
348,2024-01-17,18-24,Female,North,R,3,Needs improvement
349,2024-04-11,25-34,Female,Central,R,3,Highly recommended
350,2024-03-02,45-60,Female,South,Python,3,Highly recommended
351,2024-02-16,45-60,Other,North,Power BI,2,Excellent experience
352,2024-04-26,25-34,Male,Central,R,4,Too complex
353,2024-02-26,35-44,Male,South,Power BI,5,Could be better
354,2024-03-28,45-60,Female,North,Excel,3,Loved it
355,2024-02-22,35-44,Other,Central,R,5,Average
356,2024-01-15,35-44,Other,North,Python,3,Excellent experience
357,2024-02-03,45-60,Male,West,Power BI,5,Could be better
358,2024-02-05,18-24,Other,West,SQL,3,Very useful tool
359,2024-03-26,25-34,Female,East,Python,3,Average
360,2024-04-17,25-34,Female,East,Python,5,Loved it
361,2024-03-22,18-24,Female,Central,SQL,1,Too complex
362,2024-03-11,25-34,Other,North,SQL,1,Needs improvement
363,2024-04-27,45-60,Male,South,R,4,Excellent experience
364,2024-02-01,25-34,Female,Central,Excel,4,Needs improvement
365,2024-03-01,45-60,Female,South,R,2,Needs improvement
366,2024-02-20,35-44,Male,East,Excel,4,Too complex
367,2024-02-29,35-44,Other,Central,SQL,4,Too complex
368,2024-02-20,35-44,Male,West,Excel,5,Very useful tool
369,2024-04-02,18-24,Male,East,Excel,5,Excellent experience
370,2024-01-19,45-60,Female,East,Python,1,Average
371,2024-04-12,35-44,Male,East,R,3,Loved it
372,2024-02-17,35-44,Male,North,Excel,3,Average
373,2024-01-09,45-60,Female,East,R,1,Excellent experience
374,2024-01-09,45-60,Female,East,Excel,4,Excellent experience
375,2024-03-05,45-60,Male,East,Python,1,Loved it
376,2024-04-17,25-34,Other,Central,Excel,4,Excellent experience
377,2024-03-27,18-24,Female,East,Power BI,3,Highly recommended
378,2024-03-01,25-34,Female,North,Power BI,2,Too complex
379,2024-01-09,25-34,Male,West,Excel,1,Very useful tool
380,2024-01-18,35-44,Male,Central,R,4,Excellent experience
381,2024-02-29,35-44,Other,South,R,4,Could be better
382,2024-03-31,35-44,Other,East,SQL,4,Highly recommended
383,2024-02-15,18-24,Other,South,SQL,5,Could be better
384,2024-03-18,25-34,Female,East,R,5,Needs improvement
385,2024-04-07,45-60,Male,West,R,2,Could be better
386,2024-04-03,18-24,Male,Central,R,1,Average
387,2024-03-09,18-24,Female,East,Power BI,5,Excellent experience
388,2024-02-09,25-34,Female,West,R,2,Could be better
389,2024-01-09,25-34,Female,North,R,3,Average
390,2024-04-23,35-44,Male,Central,Python,3,Needs improvement
391,2024-03-11,18-24,Female,North,R,2,Excellent experience
392,2024-01-25,45-60,Other,East,Power BI,1,Average
393,2024-03-20,45-60,Other,South,SQL,3,Could be better
394,2024-01-07,25-34,Other,West,Excel,2,Excellent experience
395,2024-03-02,18-24,Other,North,Power BI,4,Loved it
396,2024-03-27,18-24,Other,Central,Python,1,Too complex
397,2024-01-28,35-44,Male,West,SQL,5,Highly recommended
398,2024-03-20,18-24,Female,North,Excel,5,Highly recommended
399,2024-04-13,25-34,Other,Central,Power BI,4,Very useful tool
400,2024-01-08,18-24,Male,West,SQL,3,Average
401,2024-03-09,35-44,Female,West,Python,1,Could be better
402,2024-01-09,45-60,Male,South,SQL,4,Could be better
403,2024-01-05,45-60,Male,East,Excel,3,Loved it
404,2024-02-12,45-60,Male,West,Python,5,Could be better
405,2024-04-01,45-60,Female,North,Power BI,4,Average
406,2024-01-18,25-34,Female,West,Excel,4,Excellent experience
407,2024-02-03,45-60,Female,West,Excel,4,Could be better
408,2024-01-22,35-44,Male,North,Excel,1,Excellent experience
409,2024-02-25,25-34,Male,West,Excel,4,Needs improvement
410,2024-03-31,18-24,Male,Central,Power BI,2,Highly recommended
411,2024-01-31,35-44,Male,East,SQL,3,Very useful tool
412,2024-04-04,45-60,Other,Central,R,4,Highly recommended
413,2024-03-30,35-44,Other,North,Python,3,Very useful tool
414,2024-04-25,25-34,Other,East,Python,5,Average
415,2024-03-05,18-24,Male,Central,Excel,1,Very useful tool
416,2024-02-18,35-44,Male,Central,Power BI,5,Very useful tool
417,2024-03-23,35-44,Female,South,SQL,3,Needs improvement
418,2024-04-27,18-24,Other,West,SQL,2,Needs improvement
419,2024-04-28,18-24,Female,East,Python,4,Average
420,2024-04-20,35-44,Other,East,SQL,3,Excellent experience
421,2024-03-08,25-34,Other,West,Power BI,1,Very useful tool
422,2024-03-12,25-34,Male,Central,Excel,3,Excellent experience
423,2024-02-25,18-24,Male,South,SQL,1,Average
424,2024-04-14,35-44,Male,North,SQL,3,Could be better
425,2024-02-25,25-34,Other,East,Python,4,Average
426,2024-02-03,35-44,Female,Central,Excel,2,Very useful tool
427,2024-01-26,25-34,Other,East,Python,3,Could be better
428,2024-02-11,25-34,Male,West,Power BI,2,Excellent experience
429,2024-02-22,25-34,Female,South,Excel,1,Loved it
430,2024-04-14,18-24,Female,West,Power BI,1,Loved it
431,2024-04-14,18-24,Male,North,SQL,2,Highly recommended
432,2024-04-09,45-60,Other,West,Python,3,Could be better
433,2024-02-13,25-34,Other,West,Power BI,3,Average
434,2024-01-01,35-44,Male,North,Power BI,2,Too complex
435,2024-02-20,25-34,Male,East,R,3,Needs improvement
436,2024-03-11,25-34,Male,North,SQL,5,Highly recommended
437,2024-02-07,18-24,Other,West,Excel,5,Very useful tool
438,2024-01-03,25-34,Male,South,Power BI,4,Could be better
439,2024-04-04,18-24,Male,South,R,1,Too complex
440,2024-04-10,35-44,Male,North,R,3,Could be better
441,2024-04-20,25-34,Other,East,SQL,5,Very useful tool
442,2024-03-06,18-24,Other,Central,R,2,Too complex
443,2024-03-31,45-60,Other,East,R,5,Highly recommended
444,2024-04-25,18-24,Male,Central,Power BI,3,Highly recommended
445,2024-04-02,18-24,Male,West,Power BI,1,Highly recommended
446,2024-04-17,35-44,Male,Central,Power BI,3,Too complex
447,2024-04-30,25-34,Female,North,R,4,Too complex
448,2024-04-09,18-24,Other,West,SQL,2,Very useful tool
449,2024-01-06,45-60,Other,North,Python,2,Loved it
450,2024-02-17,45-60,Other,Central,Python,2,Loved it
451,2024-03-20,35-44,Other,Central,SQL,3,Could be better
452,2024-01-09,45-60,Other,West,Python,3,Highly recommended
453,2024-02-15,45-60,Other,North,SQL,3,Highly recommended
454,2024-02-28,18-24,Male,South,SQL,1,Too complex
455,2024-04-02,35-44,Other,Central,R,5,Very useful tool
456,2024-01-04,35-44,Female,East,SQL,3,Highly recommended
457,2024-01-16,45-60,Female,North,R,5,Highly recommended
458,2024-03-27,25-34,Male,North,SQL,2,Could be better
459,2024-01-13,25-34,Other,South,R,2,Very useful tool
460,2024-01-14,25-34,Female,East,Excel,2,Could be better
461,2024-03-01,18-24,Other,East,Power BI,3,Needs improvement
462,2024-02-07,35-44,Other,East,SQL,1,Highly recommended
463,2024-03-22,18-24,Male,North,Python,1,Loved it
464,2024-03-11,25-34,Other,East,Power BI,4,Loved it
465,2024-02-23,18-24,Male,Central,Power BI,3,Average
466,2024-02-02,18-24,Male,West,Python,1,Needs improvement
467,2024-04-02,35-44,Other,South,Excel,2,Too complex
468,2024-04-02,45-60,Other,North,R,5,Average
469,2024-02-25,45-60,Other,South,R,5,Loved it
470,2024-04-29,18-24,Male,East,Python,2,Average
471,2024-04-07,35-44,Male,Central,Excel,3,Needs improvement
472,2024-04-03,35-44,Male,Central,Python,4,Too complex
